ClassificationID,SourceInventoryID,TargetName,FullPath,RelativePath,Dimension,ProposedLabel,ConfidenceTier,ConfidenceReason,RequiresReview
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Open - yabai (d121).streamDeckAction,ELGATO/Open - yabai (d121).streamDeckAction,project-grouping,workspace:ELGATO,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Open - yabai (d121).streamDeckAction,ELGATO/Open - yabai (d121).streamDeckAction,file-type,unclassified-type,Low,Extension 'streamDeckAction' is not in the static type lookup.,true
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Open - yabai (d121).streamDeckAction,ELGATO/Open - yabai (d121).streamDeckAction,staleness,fresh,High,Modified 3d ago (< 30d).,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Open - Thermal (fd3d).streamDeckAction,ELGATO/Open - Thermal (fd3d).streamDeckAction,project-grouping,workspace:ELGATO,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Open - Thermal (fd3d).streamDeckAction,ELGATO/Open - Thermal (fd3d).streamDeckAction,file-type,unclassified-type,Low,Extension 'streamDeckAction' is not in the static type lookup.,true
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Open - Thermal (fd3d).streamDeckAction,ELGATO/Open - Thermal (fd3d).streamDeckAction,staleness,fresh,High,Modified 3d ago (< 30d).,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Run Shortcut (From List) - DC  (30c2).streamDeckAction,ELGATO/Run Shortcut (From List) - DC  (30c2).streamDeckAction,project-grouping,workspace:ELGATO,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Run Shortcut (From List) - DC  (30c2).streamDeckAction,ELGATO/Run Shortcut (From List) - DC  (30c2).streamDeckAction,file-type,unclassified-type,Low,Extension 'streamDeckAction' is not in the static type lookup.,true
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Run Shortcut (From List) - DC  (30c2).streamDeckAction,ELGATO/Run Shortcut (From List) - DC  (30c2).streamDeckAction,staleness,fresh,High,Modified 3d ago (< 30d).,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Hotkey - RIGHT (11be).streamDeckAction,ELGATO/Hotkey - RIGHT (11be).streamDeckAction,project-grouping,workspace:ELGATO,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/ELGATO/Hotkey - RIGHT (11be).streamDeckAction,ELGATO/Hotkey - RIGHT (11be).streamDeckAction,file-type,unclassified-type,Low,Extension 'streamDeckAction' is not in the static type lookup.,true
