ClassificationID,SourceInventoryID,TargetName,FullPath,RelativePath,Dimension,ProposedLabel,ConfidenceTier,ConfidenceReason,RequiresReview
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/he.strings,TV/Media.localized/.localized/he.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/he.strings,TV/Media.localized/.localized/he.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/uk.strings,TV/Media.localized/.localized/uk.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/uk.strings,TV/Media.localized/.localized/uk.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/fr_CA.strings,TV/Media.localized/.localized/fr_CA.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/fr_CA.strings,TV/Media.localized/.localized/fr_CA.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/nl.strings,TV/Media.localized/.localized/nl.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/nl.strings,TV/Media.localized/.localized/nl.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/de.strings,TV/Media.localized/.localized/de.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/de.strings,TV/Media.localized/.localized/de.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/ja.strings,TV/Media.localized/.localized/ja.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/ja.strings,TV/Media.localized/.localized/ja.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/sk.strings,TV/Media.localized/.localized/sk.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/sk.strings,TV/Media.localized/.localized/sk.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/hr.strings,TV/Media.localized/.localized/hr.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/hr.strings,TV/Media.localized/.localized/hr.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/el.strings,TV/Media.localized/.localized/el.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/el.strings,TV/Media.localized/.localized/el.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/en_PH.strings,TV/Media.localized/.localized/en_PH.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/en_PH.strings,TV/Media.localized/.localized/en_PH.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/th.strings,TV/Media.localized/.localized/th.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/th.strings,TV/Media.localized/.localized/th.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/zh_CN.strings,TV/Media.localized/.localized/zh_CN.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/zh_CN.strings,TV/Media.localized/.localized/zh_CN.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/cs.strings,TV/Media.localized/.localized/cs.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/cs.strings,TV/Media.localized/.localized/cs.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/sv.strings,TV/Media.localized/.localized/sv.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/sv.strings,TV/Media.localized/.localized/sv.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/pl.strings,TV/Media.localized/.localized/pl.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/pl.strings,TV/Media.localized/.localized/pl.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
